object_0	object_1	answer	labels
Chrysler	Toyota	While Chrysler says the Sebring offers the same or better EPA volume as its competition, the car feels a bit more closely coupled and taller than the Ford Fusion or Toyota Camry.	2
CUDA	OpenCL	Holy crap IE was technically superior than Mozilla/Firefox as CUDA is to OpenCL?	0
AWK	Sed	Also, I'd probably be able to offer better help, but I need to study AWK and Sed more.	0
Intel	Google	The 3.3 lb (1.5 kg), 0.8-in (20 mm) thin device has an Intel Celeron (Haswell-based) processor at its heart, supported by 2 GB of RAM and 16 GB solid state storage with media card expansion, and comes with 100 GB of Google Drive storage.	0
Intel	IBM	The 4 GHz goal by Intel and the 3 Ghz G5 goal by IBM are largely based on moving to a 90 nm process for their chips, allowing them to run at faster clock speeds.	0
Toyota	Nissan	These cars are a bargain compared to a similar specced Toyota Prado, or Nissan Pathfinder and parts a quite cheap, albeit a bit harder to find.	0
Java	Groovy	SQL is easier to read, maintain and debug than Java, Groovy or Jython code.	0
basketball	softball	Track is more of an individual sport and I'd feel so much worse if I had to miss a basketball or softball game for a track meet.	0
Buick	Cadillac	And for the record: Superior Buick Cadillac of KC is an OUTSTANDING dealership.	0
bus	truck	In fact, the NHTSA says that traveling by school bus is seven times safer than traveling by car or truck.	2
psp	ps2	Most psp - ps2 ports that I've seen haven't been too good, the best being Syphon Filter: Dark Mirror, and even that one is considered inferior to the original.	0
Lisp	Python	After some basic performances checking as seen in my Common Lisp Sudoku Solver project where I did get up to ten times faster code when compared to Python, it felt like the amazing set of features of the language could be put to good use here.	2
Toyota	Honda	Cue Toyota and Honda.	0
USB	Ethernet	With their open standard cables and other components, hooking up USB or Gigabit Ethernet cameras is generally easier than with some of the machine vision-specific interfaces.	0
Leica	Nikon	"I would definately recomend carrying both types of ""angle helper"" if doing things for real.And the Leica LRF is better than the Nikon."	2
Ethernet	Bluetooth	Designed to offer easy connectivity and make it easier to access and share documents in the classroom, the TravelMate B113 offers a choice of options: 802.11 a/b/g/n Wi-Fi CERTIFIED for wireless connectivity, Gigabit Ethernet for reliable cable connection and Bluetooth ® 4.0, for high-speed sharing of media files or documents.	0
Oracle	MySQL	Oracle MySQL Certification Training	0
BMW	Ferrari	1. BMW, 40 points / Chevrolet, 40 3. Ferrari, 27 4. Porsche, 23	2
Integer	Floating-point	For example, Integer data is processed faster than Floating-point data or decimal data.	2
Nissan	Renault	"I would say that the Nissan-Renault merger has gone better than ""reasonably well""."	0
psp	wii	TV, VCR, DVD, Tube and solid state guitar & bass amps, Tube & solid state stereo equipment, Xbox 360, Sony PS/3, Sony psp, wii.	0
Sigma	Nikon	Sigma makes some decent lenses, but Nikon knows their own exposure system better than anyone.	3
Mercedes-Benz	Audi	As Reuters reported , Mercedes-Benz' parent Daimler is considering shedding some of its company-owned dealerships in Germany to better compete with its main rivals, Audi and BMW.	0
carolina	pennsylvania	Earlier, Wilson's maternal grandmother walked from North carolina to pennsylvania in search of a better life.	0
Java	Smalltalk	IOW, there's no fun in Java (unlike something more playful like Smalltalk).	0
carolina	michigan	If South carolina represents the worst performance to be expected of Devin Gardner than michigan is in solid hands.	0
basketball	baseball	I never said basketball was easier than baseball.	0
Lisp	Java	It still doesn't have macros the way Lisp does and it doesn't have sexprs (yes, I really do like the parenthesis), but it is a better follow-on to C than C++ and still hits the system-programming domain that Java missed so bady.	2
IBM	Apple	As far as PowerPC goes, there were many people at IBM, Apple and Motorola expecting it to be 2-3X faster than x86.	0
Nokia	Motorola	Nokia · HTC · Alcatel · Apple · Motorola · Xiaomi · Honor ·	0
swimming	skiing	swimming, boating, skiing and other activities are all so much better now!	0
JavaScript	Python	Qualifications: Recent graduates to experience developers Must have a solid foundation in web software development, including HTML, JavaScript, CSS Preferred experience with both NOSQL and relational database queries - SQL programming; Oracle PL/SQL is a plus Command of your favorite scripting and server side languages; for example: Ruby, PHP, Perl, Python Familiar with the Linux operating system and utilities	0
Python	JavaScript	The question is why would you use PHP, when there are languages out there, like Python or Ruby or even JavaScript, which are just plain better than PHP.	0
pennsylvania	michigan	pennsylvania is at 65 mph while michigan and Indiana have slower limits for trucks.	2
Python	Haskell	Python is nice and easy to use and learn but it runs like treacle much much slower than C, C++ or Java etc... if you're looking to explore the world of non C style programming try a functional language like Haskell it's a recursive programming language, no for loops and no variables it's quite interesting though.	3
beer	soda	tumbler, cooler, pub, or grand glass) is the perfect vessel for beer, mixed drinks or soda.	0
plastic	concrete	Love the plastic....so much better than the Kingdome's green concrete.	2
MySQL	PostgreSQL	MySQL might be faster for simple operations, but PostgreSQL completely demolishes it in complex queries.	0
Perl	Python	LUKE : Is Perl better than Python?	0
PHP	JavaScript	I also have experience in HTML using CSS, PHP, and JavaScript to enhance websites for better use.	0
Samsung	Nokia	The 2012 numbers provides better news for Samsung fans as it dethrones Nokia as the world's top cellphone manufacturer.	2
pennsylvania	carolina	pennsylvania is the biggest state left and has much better demographics for her than the second biggest (North carolina, where polls all show Obama up by 10+%).	2
Google	Amazon	Even better, both Google and Amazon let you access their e-books on pretty much any device you like.	0
Perl	Ruby	I guess for the reasons that GP mentioned - it's easier to learn the basics and the syntax generally makes it harder to write stuff that you don't want to maintain later than that of Perl or Ruby.	0
PostgreSQL	MySQL	but I've found PostgreSQL to be generally superior to MySQL for essentially all of my needs).	2
rat	mouse	My vote is the smaller the better, whatever it may be...hamster, rat, mouse, etc.	0
rubber	wood	Hand-turned, solid rubber-wood balusters.	0
michigan	pennsylvania	Romney's abandoned michigan as well as pennsylvania because Obama's number there are solid as well.	0
football	baseball	Forbes Field was an absolutely lousy place to stage a football game with the baseball infield.	0
tea	juice	Snacks and beverage offerings were rather decent, with several kinds of cookies and breads, a coffee machine, tea, and juice.	0
Amazon	Google	I'm finding that Amazon 's selection of apps are very limited and mediocre compared to Google Play.	3
SQLite	MySQL	Hell, SQLite is better than MySQL for that.	2
michigan	georgia	Still, Chicago is doing better than the worst parts of the nation for these two categories: Florida, California, Texas, michigan, and georgia.	0
Samsung	Nokia	In addition, having already previewed Samsung i7110, we have to admit that the Nokia ergonomics are a whole lot better.	3
pennsylvania	virginia	pennsylvania, Utah and virginia.	0
Honda	BMW	"Oh,there I must also add that transnational companies like Messrs. Toyota,Honda and BMW now manufacture ""offshore"" in the UK-and are very successfully exporting and employing a lot of UK workers at far from minimum wages.Would you deny all those people the chance of a decent job?"	0
Chevrolet	Ford	The 6th Generation of Chevrolet Camaro finally unveiled in Detroit, since 5th generation the Camaro is just getting better to rival the direct competition - Ford Mustang.	2
fox	espn	its better than fox/espn...but like on an earlier comment they put you to sleep.	0
oregon	virginia	Some of the better states represented at the conference were oregon, Colorado, Utah, virginia, Vermont and New Mexico.	0
Java	Smalltalk	I want it to become a way to interface to Java easily and the Smalltalk way.	0
Perl	Java	After that he showed how to call Perl from a Java program, but it was much harder.	0
Oracle	MySQL	Oracle DB, MySQL, MSSQL7).	0
Dell	Microsoft	This practitioner forum shares how 4 organizations-PepsiCo, Dell, Bristol-Myers Squibb and Microsoft-have modified, enhanced, and in some cases transformed their talent management practices to better support execution of business strategies.	0
Ford	BMW	A GTO may be faster there, but modified GT's built by Ford Racing placed 1-2 at the Grand American Cup Road Race at Daytona beating out stiff, established competition such as similarly race-prepped Grand Sport class Porsche 996s, 350Zs, Caddy CTS-Vs, a Firebird, and BMW M3s.	0
Toyota	BMW	"One can argue that Toyota comes up with better names than, say BMW - ""Avalon"", ""Tacoma"", ""Corrolla"" sound better than ""3.25"" or ""5.25""."	2
Ruby	PHP	From (1) and (2) follows this question: Is it possible at all to write a web framework in Ruby that's faster than PHP?	2
Toyota	BMW	Maybe your Hondas have been better (I'd take one over a Toyota any day) but every BMW experience I've had or a friend has had, was full of technical problems.	0
lacrosse	football	I think most thinking persons can agree that team handball, lacrosse, hockey (field and ice), and soccer/futbol/football are all superior sports to the basketball freakshow.	0
Bash	Python	I believe that if a SysAdmin knows what they are doing in shell/Bash/perl/Python nothing can do things better as we can be it the automation or ensuring you have a stable server to serve millions of users .	0
rat	mouse	Drunk as a drowned rat - Worse than drunk as a drowned mouse.	3
steak	bread	Mundial (Chefs and steak knifes), Forschner Victorinox (Chefs, bread and Paring), and an inexpensive solid chinese cleaver (great for dealing with squash).	0
Microsoft	Google	And what is wrong with Microsoft and Google, that they have such lousy after-sales service?	0
Java	Ruby	Java, C#, Python, Ruby?	0
NetBeans	Eclipse	Scene Builder, NetBeans, Eclipse, IntelliJ, etc?	0
Google	Amazon	For real! Every decent plan begins with a Google search!! Amazon .	0
MSI	Nvidia	I am asking this because I want to get a better Video Card than the MSI Nvidia GeForce 6600 256MB PCIe Video Card that is in the system now, however I need to know if I can shop for PCI Express 2.0 cards at newegg.	0
facebook	google	It's faster than facebook and google Plus, which is significant.	0
USB	Ethernet	USB and Ethernet are both better.	0
cement	concrete	The rate of hardening is slower than the normal Portland cement concrete.	0
Toyota	BMW	Not to be confused with the performance of a 911 the Cayenne S fills out my seasonal needs better then the 5 other SUV's I have owned, which include (2) Toyota Land Cruisers, Lexus Lx 470, and (2) BMW X5's.	0
dartmouth	harvard	But there are three teams better - dartmouth (97.5 percent), Quinnipiac (94.8 percent) and harvard (93.5 percent).	0
Google	Microsoft	Jeeeshh... Google is worse than Microsoft of the 90s.	3
skiing	swimming	Unlike in sports such as bicycling, skiing, even swimming, technology can't help you run faster.	0
